league,season,date,team,h_a,result,pts,goals_scored,goals_missed,deep_passes,deep_passes_allowed,ppda,oppda
Bundesliga,2014,2014-12-20 14:30:00,Werder Bremen,h,w,3,2,1,6,7,13.208333333333334,4.896551724137931
Bundesliga,2014,2015-02-01 14:30:00,Werder Bremen,h,w,3,2,0,7,2,4.409090909090909,6.928571428571429
Bundesliga,2014,2015-02-04 19:00:00,Werder Bremen,a,w,3,2,1,5,8,8.054054054054054,3.892857142857143
Bundesliga,2014,2015-02-08 14:30:00,Werder Bremen,h,w,3,2,1,3,17,6.741935483870968,3.1875
Bundesliga,2014,2015-02-14 14:30:00,Werder Bremen,h,w,3,3,2,8,1,5.7317073170731705,5.8
Bundesliga,2014,2015-02-21 14:30:00,Werder Bremen,a,d,1,1,1,4,6,6.107142857142857,5.5
Bundesliga,2014,2015-03-01 16:30:00,Werder Bremen,h,l,0,3,5,5,8,7.756756756756757,7.761904761904762
Bundesliga,2014,2015-03-07 14:30:00,Werder Bremen,a,w,3,1,0,6,11,4.617647058823529,5.136363636363637
Bundesliga,2014,2015-03-14 14:30:00,Werder Bremen,h,l,0,0,4,3,10,12.294117647058824,4.727272727272728
Bundesliga,2014,2015-03-21 14:30:00,Werder Bremen,a,d,1,1,1,4,8,6.833333333333333,6.095238095238095
Bundesliga,2014,2015-04-04 14:30:00,Werder Bremen,h,d,1,0,0,2,7,5.486486486486487,8.578947368421053
Bundesliga,2014,2015-04-12 16:30:00,Werder Bremen,a,l,0,2,3,6,6,7.631578947368421,7.25
Bundesliga,2014,2015-04-19 14:30:00,Werder Bremen,h,w,3,1,0,3,4,4.212121212121212,6.28125
